,0,1,2,3,4
BALANCE_FREQUENCY,0.135593609,0.565235776,-0.187962889,-0.441583724,-0.026049519
ONEOFF_PURCHASES,0.663335646,0.290511432,0.559532247,-0.047859132,-0.228180172
INSTALLMENTS_PURCHASES,0.74631347,0.197794002,-0.329584173,0.155458094,0.01967693
PURCHASES_FREQUENCY,0.85850202,0.077024073,-0.239523798,-0.07785262,0.296979031
ONEOFF_PURCHASES_FREQUENCY,0.645199232,0.257768245,0.542828004,-0.141361033,-0.086833409
PURCHASES_INSTALLMENTS_FREQUENCY,0.738076705,0.070291881,-0.571244296,0.053311429,0.227671697
CASH_ADVANCE_FREQUENCY,-0.480150255,0.743924471,0.070191344,0.278454928,0.194996969
CASH_ADVANCE_TRX,-0.432425383,0.746581675,0.074186146,0.309664447,0.259704987
PURCHASES_TRX,0.862537142,0.309288729,-0.012857403,-0.005849476,-0.032611008
PRC_FULL_PAYMENT,0.391196805,-0.323313408,0.018470862,0.46751545,0.143158777
MONTHLY_AVG_PURCHASE,0.831936955,0.300031633,0.257829854,0.047432153,-0.146776418
MONTHLY_AVG_CASH_ADVANCE,-0.418014073,0.652165061,0.086518243,0.37125785,0.220255134
LIMIT_USAGE,-0.339571936,0.598669667,-0.121320244,-0.468306852,-0.141602399
PAYMENT_MINPAYMENT,0.380286575,-0.162780496,0.328054725,0.64587812,-0.119529104
PURCHASE_TYPE_NONE,-0.650028726,0.190419454,-0.105055353,0.257852716,-0.575691304
PURCHASE_TYPE_ONEOFF_INSTALLMENT,0.66955465,0.3276606,-0.062101504,0.008351866,-0.211540391
PURCHASE_TYPE_ONE_OFF,-0.167363645,-0.185536933,0.741036588,-0.341568339,0.416679615
