,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,PRC_FULL_PAYMENT,MONTHLY_AVG_PURCHASE,MONTHLY_AVG_CASH_ADVANCE,LIMIT_USAGE,PAYMENT_MINPAYMENT,PURCHASE_TYPE_NONE,PURCHASE_TYPE_ONEOFF_INSTALLMENT,PURCHASE_TYPE_ONE_OFF
BALANCE_FREQUENCY,1.0,0.15309306626592817,0.17055066156234272,0.23733989459455107,0.20445475516264447,0.18493686323766748,0.19997465417124283,0.17826151488421188,0.24016233851771768,-0.1110956378427285,0.1875001318794499,0.1032170050075336,0.45708781857286096,-0.2710162816855322,0.011427401446675027,0.19505940599188387,-0.09451063335637154
ONEOFF_PURCHASES,0.15309306626592817,1.0,0.3197368216919613,0.394864806336377,0.764848755145596,0.16835265665222737,-0.12123186437801198,-0.09603644068540587,0.6389027937169766,0.12781068955853012,0.8631603002677811,-0.09729330710024507,-0.07837762998658357,0.3292450947535132,-0.3264282271423322,0.5010633847738287,0.13976076750481195
INSTALLMENTS_PURCHASES,0.17055066156234272,0.3197368216919613,1.0,0.6391873075219657,0.2513860107960519,0.7295116935408008,-0.20053387443671802,-0.16268862926432717,0.7141522481841617,0.23880281369280687,0.7029865394295924,-0.15241449611763444,-0.12174358666798413,0.2593138855833586,-0.3673399514508472,0.48535438029348377,-0.34770212186408106
PURCHASES_FREQUENCY,0.23733989459455107,0.394864806336377,0.6391873075219657,1.0,0.501554384039127,0.8629545021063787,-0.3323806232648587,-0.2820738619993693,0.7423558027621889,0.3057907387760944,0.5894097760270635,-0.28825586370238343,-0.22629871643726665,0.16883696874586468,-0.6633502637628935,0.5156094601824063,-0.2178867414970114
ONEOFF_PURCHASES_FREQUENCY,0.20445475516264447,0.764848755145596,0.2513860107960519,0.501554384039127,1.0,0.1426070090110037,-0.12509169493607714,-0.10639908803632753,0.6382060085711363,0.15770893579208686,0.6568921049027022,-0.12421934593055828,-0.09611440936294087,0.2504749629067238,-0.3681985946818618,0.5252901383766811,0.20298622378711995
PURCHASES_INSTALLMENTS_FREQUENCY,0.18493686323766748,0.16835265665222737,0.7295116935408008,0.8629545021063787,0.1426070090110037,1.0,-0.28172979095379097,-0.23726897011641565,0.6674816826047609,0.24997997454433904,0.4576746909811773,-0.24084341396445996,-0.18435852085586485,0.12311770164362049,-0.4982790579474922,0.46343421167412613,-0.47185045342846815
CASH_ADVANCE_FREQUENCY,0.19997465417124283,-0.12123186437801198,-0.20053387443671802,-0.3323806232648587,-0.12509169493607714,-0.28172979095379097,1.0,0.9141605766679909,-0.1936039357993757,-0.26719528083624067,-0.1818090986972309,0.740082026517231,0.4224318642595408,-0.13533867707455635,0.402906833588811,-0.10400041329639129,-0.02793899379332162
CASH_ADVANCE_TRX,0.17826151488421188,-0.09603644068540587,-0.16268862926432717,-0.2820738619993693,-0.10639908803632753,-0.23726897011641565,0.9141605766679909,1.0,-0.1531197470921413,-0.23381699130580752,-0.14708848291930476,0.7582932609838896,0.3803282577145189,-0.1172685665961418,0.33629367426639173,-0.07191892152785,-0.02496665610885849
PURCHASES_TRX,0.24016233851771768,0.6389027937169766,0.7141522481841617,0.7423558027621889,0.6382060085711363,0.6674816826047609,-0.1936039357993757,-0.1531197470921413,1.0,0.20408298423326274,0.7923615679622457,-0.17046317399523106,-0.09411945823781394,0.2519047973827207,-0.4391413448243469,0.61465143953563,-0.19748432429286833
PRC_FULL_PAYMENT,-0.1110956378427285,0.12781068955853012,0.23880281369280687,0.3057907387760944,0.15770893579208686,0.24997997454433904,-0.26719528083624067,-0.23381699130580752,0.20408298423326274,1.0,0.21721316872200347,-0.2091542925948314,-0.46663245085477967,0.3900783555482904,-0.20325950097454626,0.0782725430310859,-0.09010088689197342
MONTHLY_AVG_PURCHASE,0.1875001318794499,0.8631603002677811,0.7029865394295924,0.5894097760270635,0.6568921049027022,0.4576746909811773,-0.1818090986972309,-0.14708848291930476,0.7923615679622457,0.21721316872200347,1.0,-0.13716264232956818,-0.11301672683008393,0.37012902115377416,-0.4116766128701093,0.569923173163268,-0.050677716768068135
MONTHLY_AVG_CASH_ADVANCE,0.1032170050075336,-0.09729330710024507,-0.15241449611763444,-0.28825586370238343,-0.12421934593055828,-0.24084341396445996,0.740082026517231,0.7582932609838896,-0.17046317399523106,-0.2091542925948314,-0.13716264232956818,1.0,0.2983216527566455,-0.05740804194125824,0.3505614513807527,-0.10530626120877269,-0.031060513264603164
LIMIT_USAGE,0.45708781857286096,-0.07837762998658357,-0.12174358666798413,-0.22629871643726665,-0.09611440936294087,-0.18435852085586485,0.4224318642595408,0.3803282577145189,-0.09411945823781394,-0.46663245085477967,-0.11301672683008393,0.2983216527566455,1.0,-0.4399623863194279,0.283552421921032,-0.0631293035539478,-0.006202351670748504
PAYMENT_MINPAYMENT,-0.2710162816855322,0.3292450947535132,0.2593138855833586,0.16883696874586468,0.2504749629067238,0.12311770164362049,-0.13533867707455635,-0.1172685665961418,0.2519047973827207,0.3900783555482904,0.37012902115377416,-0.05740804194125824,-0.4399623863194279,1.0,-0.1077736717654107,0.16452367854994662,-0.011123490877206028
PURCHASE_TYPE_NONE,0.011427401446675027,-0.3264282271423322,-0.3673399514508472,-0.6633502637628935,-0.3681985946818618,-0.4982790579474922,0.402906833588811,0.33629367426639173,-0.4391413448243469,-0.20325950097454626,-0.4116766128701093,0.3505614513807527,0.283552421921032,-0.1077736717654107,1.0,-0.3643772796069142,-0.2797966984464338
PURCHASE_TYPE_ONEOFF_INSTALLMENT,0.19505940599188387,0.5010633847738287,0.48535438029348377,0.5156094601824063,0.5252901383766811,0.46343421167412613,-0.10400041329639129,-0.07191892152785,0.61465143953563,0.0782725430310859,0.569923173163268,-0.10530626120877269,-0.0631293035539478,0.16452367854994662,-0.3643772796069142,1.0,-0.3448978331324508
PURCHASE_TYPE_ONE_OFF,-0.09451063335637154,0.13976076750481195,-0.34770212186408106,-0.2178867414970114,0.20298622378711995,-0.47185045342846815,-0.02793899379332162,-0.02496665610885849,-0.19748432429286833,-0.09010088689197342,-0.050677716768068135,-0.031060513264603164,-0.006202351670748504,-0.011123490877206028,-0.2797966984464338,-0.3448978331324508,1.0
